,Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90
88,Bruno Tubarão,31,BRI Liga 1 25-26,"RB, RWB, LAMF",Persija,Brazil,0.6198630136986302,0.5616438356164384,0.8013698630136986,0.5582191780821918,0.8904109589041096,0.5445205479452054,0.6712328767123288,0.9452054794520548,0.9726027397260274,0.934931506849315,1,0.8184931506849316,0.4863013698630137,0.9486301369863014,0.4383561643835616,0.5993150684931506,0.136986301369863,0.1780821917808219,0.5958904109589042,0.6027397260273972,0.8938356164383562,0.2328767123287671,0.636986301369863,0.7054794520547946,0.273972602739726,0.9931506849315068,0.4965753424657534,0.5034246575342466,0.006849315068493178,0.2191780821917808,0.5034246575342466,0.6712328767123288,0.273972602739726,0.5034246575342466,0.2465753424657534,0.7123287671232876,0.5034246575342466,0.3356164383561644,0.910958904109589,0.6917808219178082,0.2671232876712329,0.8561643835616438,0.9554794520547946,0.6986301369863014,0.5205479452054794,0.2808219178082192,0.9931506849315068
89,Johnathan,31,BRI Liga 1 25-26,RB,Dewa United,Brazil,0.2636986301369863,0.4863013698630137,0.821917808219178,0.2534246575342466,0.8458904109589042,0.6232876712328768,0.7534246575342466,0.5342465753424658,0.4623287671232877,0.9246575342465754,0.839041095890411,0.339041095890411,0.6643835616438356,0.8082191780821918,0.7328767123287672,0.2808219178082192,0.4794520547945205,0.7602739726027398,0.1506849315068493,0.136986301369863,0.5445205479452055,0.0684931506849315,0.2226027397260274,0.9828767123287672,0.4794520547945205,0.8767123287671232,0.4965753424657534,0.5034246575342466,0.20890410958904104,0.3219178082191781,0.5034246575342466,0.7534246575342466,0.4794520547945205,0.5034246575342466,0.3767123287671233,0.7808219178082192,0.5034246575342466,0.4520547945205479,0.5856164383561644,0.4794520547945205,0.7534246575342466,0.4143835616438356,0.19863013698630136,0.4452054794520548,0.9383561643835616,0.3972602739726027,0.9452054794520548
90,Jajá,31,BRI Liga 1 25-26,"LDMF, DMF, RDMF",Dewa United,Brazil,0.660958904109589,0.6095890410958904,0.4554794520547945,0.547945205479452,0.702054794520548,0.6952054794520548,0.9931506849315068,0.8595890410958904,0.928082191780822,0.726027397260274,0.9863013698630136,0.339041095890411,0.8493150684931506,0.6815068493150684,0.19863013698630136,0.18493150684931506,0.2534246575342466,0.3287671232876712,0.2534246575342466,0.1986301369863014,0.4794520547945206,0.4657534246575342,0.2568493150684932,0.4931506849315068,0.4520547945205479,0.9041095890410958,0.4965753424657534,0.5034246575342466,0.26027397260273977,0.863013698630137,0.5034246575342466,0.9931506849315068,0.4520547945205479,0.5034246575342466,0.0410958904109589,0.9931506849315068,0.5034246575342466,0.773972602739726,0.9417808219178082,0.571917808219178,0.886986301369863,0.9315068493150684,0.19863013698630136,0.2191780821917808,0.9246575342465754,0.273972602739726,0.5171232876712328
91,Andrei Alba,31,BRI Liga 1 25-26,"DMF, RCMF, RDMF",Persis Solo,Brazil,0.2636986301369863,0.4931506849315068,0.6575342465753424,0.2534246575342466,0.13356164383561644,0.7602739726027398,0.8835616438356164,0.815068493150685,0.928082191780822,0.9657534246575342,0.339041095890411,0.958904109589041,0.9657534246575342,0.18493150684931506,0.0958904109589041,0.4452054794520548,0.4863013698630137,0.21232876712328766,0.4897260273972603,0.660958904109589,0.6164383561643836,0.9315068493150684,0.541095890410959,0.2842465753424658,0.6712328767123288,0.952054794520548,0.4965753424657534,0.5034246575342466,0.273972602739726,0.815068493150685,0.5034246575342466,0.8835616438356164,0.6712328767123288,0.5034246575342466,0.678082191780822,0.821917808219178,0.5034246575342466,0.8013698630136986,0.8698630136986302,0.22602739726027396,0.9623287671232876,0.952054794520548,0.19863013698630136,0.5342465753424658,0.541095890410959,0.2602739726027397,0.4417808219178082
92,Gledson,31,BRI Liga 1 25-26,"LDMF, DMF, LCMF",PSM,Brazil,0.660958904109589,0.6027397260273972,0.1780821917808219,0.5308219178082192,0.678082191780822,0.5342465753424658,0.5821917808219178,0.6027397260273972,0.75,0.726027397260274,0.339041095890411,0.8767123287671232,0.565068493150685,0.21575342465753425,0.5342465753424658,0.6438356164383562,0.7671232876712328,0.11301369863013698,0.7191780821917808,0.09246575342465757,0.2773972602739726,0.5924657534246576,0.7123287671232876,0.8835616438356164,0.3732876712328767,0.726027397260274,0.4965753424657534,0.5034246575342466,0.31506849315068497,0.8561643835616438,0.5034246575342466,0.5821917808219178,0.3732876712328767,0.5034246575342466,0.6027397260273972,0.5787671232876712,0.5034246575342466,0.6712328767123288,0.9417808219178082,0.773972602739726,0.7054794520547946,0.8767123287671232,0.19863013698630136,0.6575342465753424,0.6883561643835616,0.2671232876712329,0.4417808219178082
93,H. Yama,31,BRI Liga 1 25-26,"RCB3, RCB, LCB",Arema,Indonesia,0.7705479452054794,0.4657534246575342,0.8904109589041096,0.9691780821917808,0.1917808219178082,0.5,0.5,0.0410958904109589,0.11643835616438356,0.2945205479452055,0.339041095890411,0.339041095890411,0.18493150684931506,0.5376712328767124,0.952054794520548,0.815068493150685,0.547945205479452,0.3287671232876712,0.7876712328767124,0.4486301369863014,0.2773972602739726,0.7294520547945206,0.839041095890411,0.910958904109589,0.3732876712328767,0.17465753424657535,0.4965753424657534,0.5034246575342466,0.5787671232876712,0.910958904109589,0.5034246575342466,0.5,0.3732876712328767,0.5034246575342466,0.8356164383561644,0.4657534246575342,0.5034246575342466,0.6815068493150684,0.1780821917808219,0.08561643835616438,0.2671232876712329,0.11643835616438356,0.19863013698630136,0.8904109589041096,0.5068493150684932,0.8561643835616438,0.03767123287671233
94,D. Dimov,31,BRI Liga 1 25-26,RCB,Persebaya Surabaya,North Macedonia,0.2636986301369863,0.273972602739726,0.06506849315068493,0.2534246575342466,0.04452054794520548,0.7671232876712328,0.4589041095890411,0.0410958904109589,0.11643835616438356,0.2945205479452055,0.339041095890411,0.339041095890411,0.09246575342465753,0.07876712328767123,0.21232876712328766,0.6506849315068494,0.23972602739726026,0.6815068493150684,0.4726027397260274,0.9452054794520548,0.8938356164383562,0.4931506849315068,0.6164383561643836,0.1952054794520548,0.4589041095890411,0.17465753424657535,0.4965753424657534,0.5034246575342466,0.9623287671232876,0.9383561643835616,0.5034246575342466,0.4589041095890411,0.4589041095890411,0.5034246575342466,0.11643835616438356,0.3835616438356164,0.5034246575342466,0.8698630136986302,0.0547945205479452,0.08561643835616438,0.2671232876712329,0.11643835616438356,0.19863013698630136,0.5684931506849316,0.0821917808219178,0.9452054794520548,0.03767123287671233
95,R. Tsouka,31,BRI Liga 1 25-26,RB,Semen Padang,France,0.2636986301369863,0.5958904109589042,0.363013698630137,0.2534246575342466,0.541095890410959,0.3527397260273973,0.5445205479452054,0.8253424657534246,0.5958904109589042,0.2945205479452055,0.339041095890411,0.339041095890411,0.636986301369863,0.7876712328767124,0.02054794520547945,0.4383561643835616,0.2636986301369863,0.9452054794520548,0.0136986301369863,0.06849315068493156,0.09246575342465757,0.18835616438356165,0.2054794520547945,0.4315068493150685,0.6438356164383562,0.17465753424657535,0.4965753424657534,0.5034246575342466,0.2808219178082192,0.4452054794520548,0.5034246575342466,0.5445205479452054,0.6438356164383562,0.5034246575342466,0.7328767123287672,0.6575342465753424,0.5034246575342466,0.4383561643835616,0.2979452054794521,0.7876712328767124,0.2671232876712329,0.2842465753424658,0.7465753424657534,0.3082191780821918,0.4383561643835616,0.8835616438356164,0.8184931506849316
96,J. César,31,BRI Liga 1 25-26,"RCB, LCB",Persib,Brazil,0.660958904109589,0.9246575342465754,0.7294520547945206,0.5753424657534246,0.9006849315068494,0.9178082191780822,0.4726027397260274,0.2226027397260274,0.3082191780821918,0.2945205479452055,0.339041095890411,0.339041095890411,0.17123287671232876,0.339041095890411,0.9726027397260274,0.7808219178082192,0.4178082191780822,0.2602739726027397,0.8356164383561644,0.14383561643835618,0.4794520547945206,0.7568493150684932,0.815068493150685,0.9828767123287672,0.9863013698630136,0.17465753424657535,0.4965753424657534,0.5034246575342466,0.7705479452054794,0.684931506849315,0.5034246575342466,0.4726027397260274,0.9863013698630136,0.5034246575342466,0.2876712328767123,0.5,0.5034246575342466,0.9452054794520548,0.8972602739726028,0.08561643835616438,0.2671232876712329,0.6746575342465754,0.4417808219178082,0.9931506849315068,0.2876712328767123,0.684931506849315,0.11301369863013698
97,L. Guntara,31,BRI Liga 1 25-26,"LB, LCB",Arema,Indonesia,0.2636986301369863,0.2328767123287671,0.7294520547945206,0.2534246575342466,0.3013698630136986,0.3356164383561644,0.2876712328767123,0.75,0.7808219178082192,0.2945205479452055,0.339041095890411,0.339041095890411,0.7945205479452054,0.5787671232876712,0.06164383561643835,0.0410958904109589,0.03424657534246575,0.7602739726027398,0.06164383561643835,0.34931506849315064,0.2465753424657534,0.3356164383561644,0.0273972602739726,0.0684931506849315,0.5821917808219178,0.17465753424657535,0.4965753424657534,0.5034246575342466,0.12671232876712324,0.03424657534246575,0.5034246575342466,0.2876712328767123,0.5821917808219178,0.5034246575342466,0.8835616438356164,0.3424657534246575,0.5034246575342466,0.13013698630136986,0.4931506849315068,0.3424657534246575,0.2671232876712329,0.7636986301369864,0.5787671232876712,0.0684931506849315,0.3047945205479452,0.21232876712328766,0.9041095890410958
98,Ramón Bueno,31,BRI Liga 1 25-26,"RDMF, RCMF, DMF",Persita,Spain,0.2636986301369863,0.589041095890411,0.8493150684931506,0.2534246575342466,0.3013698630136986,0.4554794520547945,0.4520547945205479,0.20205479452054795,0.11643835616438356,0.2945205479452055,0.339041095890411,0.339041095890411,0.1917808219178082,0.02054794520547945,0.6506849315068494,0.547945205479452,0.3424657534246575,0.02054794520547945,0.2602739726027397,0.5616438356164384,0.5445205479452055,0.1095890410958904,0.6438356164383562,0.9554794520547946,1,0.17465753424657535,0.4965753424657534,0.5034246575342466,0.5410958904109588,0.9452054794520548,0.5034246575342466,0.4520547945205479,1,0.5034246575342466,0.3972602739726027,0.3698630136986301,0.5034246575342466,0.8082191780821918,0.5513698630136986,0.08561643835616438,0.2671232876712329,0.11643835616438356,0.5787671232876712,0.678082191780822,0.4691780821917808,0.5684931506849316,0.03767123287671233
99,Paulo Ricardo,31,BRI Liga 1 25-26,LCB,Persija,Brazil,0.8732876712328768,0.7397260273972602,0.9726027397260274,0.8561643835616438,0.6541095890410958,1,0.958904109589041,0.2226027397260274,0.4623287671232877,0.2945205479452055,0.339041095890411,0.339041095890411,0.9383561643835616,0.8493150684931506,0.18493150684931506,0.3424657534246575,0.0821917808219178,0.02054794520547945,0.9246575342465754,0.17808219178082196,0.8287671232876712,0.702054794520548,0.5273972602739726,0.5821917808219178,0.3732876712328767,0.17465753424657535,0.4965753424657534,0.5034246575342466,0.8321917808219178,0.952054794520548,0.5034246575342466,0.958904109589041,0.3732876712328767,0.5034246575342466,0.7123287671232876,0.9383561643835616,0.5034246575342466,0.9726027397260274,0.6232876712328768,0.8493150684931506,0.886986301369863,0.9657534246575342,0.19863013698630136,0.863013698630137,0.0136986301369863,0.7465753424657534,0.2808219178082192
100,Ruxi,31,BRI Liga 1 25-26,"LB, LCB",Madura United,Spain,0.2636986301369863,0.910958904109589,0.19863013698630136,0.2534246575342466,0.9315068493150684,0.4452054794520548,0.2328767123287671,0.7636986301369864,0.6917808219178082,0.6164383561643836,0.6952054794520548,0.339041095890411,0.547945205479452,0.5171232876712328,0.678082191780822,0.4726027397260274,0.821917808219178,0.3527397260273973,0.7671232876712328,0.6746575342465753,0.8595890410958904,0.684931506849315,0.5342465753424658,0.4931506849315068,0.547945205479452,0.5376712328767124,0.4965753424657534,0.5034246575342466,0.4178082191780822,0.21232876712328766,0.5034246575342466,0.2328767123287671,0.547945205479452,0.5034246575342466,0.6917808219178082,0.2534246575342466,0.5034246575342466,0.273972602739726,0.7294520547945206,0.3013698630136986,0.2671232876712329,0.4554794520547945,0.8972602739726028,0.6506849315068494,0.2671232876712329,0.8972602739726028,0.8287671232876712
101,T. Kozubaev,31,BRI Liga 1 25-26,"LCB, RCB",Persita,Kyrgyzstan,0.2636986301369863,0.6164383561643836,0.363013698630137,0.2534246575342466,0.547945205479452,0.7328767123287672,0.6575342465753424,0.08561643835616438,0.11643835616438356,0.2945205479452055,0.339041095890411,0.339041095890411,0.3561643835616438,0.5616438356164384,0.9452054794520548,0.8458904109589042,0.7294520547945206,0.05821917808219178,0.9315068493150684,0.863013698630137,0.7773972602739726,0.976027397260274,0.9041095890410958,0.8082191780821918,0.5136986301369864,0.17465753424657535,0.4965753424657534,0.5034246575342466,0.9006849315068494,0.6506849315068494,0.5034246575342466,0.6575342465753424,0.5136986301369864,0.5034246575342466,0.13013698630136986,0.6095890410958904,0.5034246575342466,0.6986301369863014,0.4554794520547945,0.08561643835616438,0.2671232876712329,0.11643835616438356,0.19863013698630136,0.9726027397260274,0.3493150684931507,0.7363013698630136,0.21232876712328766
102,C. Nduwarugira,31,BRI Liga 1 25-26,LCB,Borneo FC,Burundi,0.5582191780821918,0.5753424657534246,0.7294520547945206,0.6438356164383562,0.565068493150685,0.958904109589041,0.9726027397260274,0.3287671232876712,0.4623287671232877,0.2945205479452055,0.839041095890411,0.726027397260274,0.9726027397260274,0.6267123287671232,0.2191780821917808,0.4178082191780822,0.10273972602739725,0.09246575342465753,0.8253424657534246,0.928082191780822,0.7773972602739726,0.8527397260273972,0.547945205479452,0.4246575342465753,0.684931506849315,0.6986301369863014,0.4965753424657534,0.5034246575342466,0.8561643835616438,0.7534246575342466,0.5034246575342466,0.9726027397260274,0.684931506849315,0.5034246575342466,0.4383561643835616,0.9726027397260274,0.5034246575342466,0.9178082191780822,0.4931506849315068,0.773972602739726,0.2671232876712329,0.7636986301369864,0.4828767123287671,0.7808219178082192,0.25,0.6232876712328768,0.3287671232876712
103,Yuran Fernandes,31,BRI Liga 1 25-26,"RCB, LCB",PSM,Cape Verde Islands,0.7705479452054794,0.8356164383561644,0.8493150684931506,0.9315068493150684,0.7842465753424658,0.6164383561643836,0.2054794520547945,0.4691780821917808,0.4623287671232877,0.2945205479452055,0.339041095890411,0.8184931506849316,0.3801369863013699,0.10273972602739725,0.9383561643835616,0.8356164383561644,0.7465753424657534,0.4794520547945205,0.9691780821917808,0.797945205479452,0.40068493150684936,0.7294520547945206,0.8561643835616438,0.7876712328767124,0.8356164383561644,0.4246575342465753,0.4965753424657534,0.5034246575342466,0.6232876712328768,0.3356164383561644,0.5034246575342466,0.2054794520547945,0.8356164383561644,0.5034246575342466,0.6301369863013698,0.0958904109589041,0.5034246575342466,0.6027397260273972,0.773972602739726,0.9554794520547946,0.797945205479452,0.5102739726027398,0.19863013698630136,0.9452054794520548,0.910958904109589,0.821917808219178,0.24315068493150685
104,Léo Lelis,32,BRI Liga 1 25-26,"RCB, LCB",Persebaya Surabaya,Brazil,0.9657534246575342,0.821917808219178,0.06506849315068493,0.8904109589041096,0.815068493150685,0.6643835616438356,0.2671232876712329,0.1232876712328767,0.4623287671232877,0.2945205479452055,0.8116438356164384,0.339041095890411,0.4315068493150685,0.1643835616438356,0.8698630136986302,0.7123287671232876,0.4726027397260274,0.3013698630136986,0.9691780821917808,0.886986301369863,0.8287671232876712,0.9246575342465754,0.7465753424657534,0.5684931506849316,0.5068493150684932,0.476027397260274,0.4965753424657534,0.5034246575342466,0.9006849315068494,0.0958904109589041,0.5034246575342466,0.2671232876712329,0.5068493150684932,0.5034246575342466,0.3219178082191781,0.2808219178082192,0.5034246575342466,0.4452054794520548,0.7602739726027398,0.9863013698630136,0.2671232876712329,1,0.4417808219178082,0.8972602739726028,0.4178082191780822,0.7191780821917808,0.18493150684931506
105,J. Tutuarima,32,BRI Liga 1 25-26,LB,Persis Solo,Netherlands,0.815068493150685,0.3082191780821918,0.8287671232876712,0.9931506849315068,0.4349315068493151,0.2089041095890411,0.3082191780821918,0.9315068493150684,0.8972602739726028,0.8356164383561644,0.339041095890411,0.339041095890411,0.273972602739726,0.4315068493150685,0.6301369863013698,0.21232876712328766,0.3698630136986301,0.5513698630136986,0.9143835616438356,0.6883561643835616,0.9863013698630136,0.5547945205479452,0.2226027397260274,0.821917808219178,0.589041095890411,0.6506849315068494,0.4965753424657534,0.5034246575342466,0.15068493150684936,0.3972602739726027,0.5034246575342466,0.3082191780821918,0.589041095890411,0.5034246575342466,0.5068493150684932,0.3561643835616438,0.5034246575342466,0.21232876712328766,0.10616438356164383,0.6472602739726028,0.2671232876712329,0.6301369863013698,0.19863013698630136,0.2534246575342466,0.4006849315068493,0.708904109589041,0.8835616438356164
